Accession	Geo_Location	Collection_Date	GenBank_Title
MT350248	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0058/2020, complete genome"
MT350249	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0059/2020, complete genome"
MT350250	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0060/2020, complete genome"
MT350251	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0061/2020, complete genome"
MT350252	USA: VA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0063/2020, complete genome"
MT350253	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0064/2020, complete genome"
MT350254	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0065/2020, complete genome"
MT350255	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0066/2020, complete genome"
MT350256	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0067/2020, complete genome"
MT350257	USA: VA	2020-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0068/2020, complete genome"
MT350263	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0480/2020, complete genome"
MT350264	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0428/2020, complete genome"
MT350265	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0427/2020, complete genome"
MT350266	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0434/2020, complete genome"
MT350267	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0442/2020, complete genome"
MT350268	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0418/2020, complete genome"
MT350269	USA: WA	2020-03-20	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0797/2020, complete genome"
MT350270	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0432/2020, complete genome"
MT350271	USA: WA	2020-03-20	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0457/2020, complete genome"
MT350272	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0448/2020, complete genome"
MT350273	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0478/2020, complete genome"
MT350274	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0422/2020, complete genome"
MT350275	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0484/2020, complete genome"
MT350276	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0429/2020, complete genome"
MT350277	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0441/2020, complete genome"
MT350278	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0440/2020, complete genome"
MT350279	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0711/2020, complete genome"
MT350280	USA: WA	2020-03-19	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/USA-WA_0447/2020, complete genome"
MT350282	Brazil	2020-03-18	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BRA/SP02cc/2020, complete genome"
MT344135	Nigeria	2020-04-09	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NGA/NG02/2020 ORF1ab polyprotein, 3'-to-5' exonuclease region, (ORF1ab) gene, partial cds"
MT344944	USA: CT	2020-03-08	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT_9849/2020, complete genome"
MT344945	USA: GA	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2070/2020, complete genome"
MT344946	USA: GA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2147/2020, complete genome"
MT344947	USA: GA	2020-03	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2275/2020, complete genome"
MT344948	USA: HI	2020-03-05	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/HI_4970/2020, complete genome"
MT344949	USA: HI	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/HI_7881/2020, complete genome"
MT344950	USA: IN	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_72003/2020, complete genome"
MT344951	USA: IN	2020-03-08	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_82003/2020, complete genome"
MT344952	USA: IN	2020-03-09	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_92003/2020, complete genome"
MT344953	USA: MD	2020-03-04	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD_0027/2020, complete genome"
MT344954	USA: MN	2020-03-05	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN_0100/2020, complete genome"
MT344955	USA: OH	2020-03-08	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH_0019/2020, complete genome"
MT344956	USA: OH	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH_0020/2020, complete genome"
MT344957	USA: PA	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2734/2020, complete genome"
MT344958	USA: PA	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2735/2020, complete genome"
MT344959	USA: PA	2020-03-08	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2887/2020, complete genome"
MT344960	USA: RI	2020-03-09	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RI_0882/2020, complete genome"
MT344961	USA: NV	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV_0016/2020, complete genome"
MT344962	USA: MN	2020-03-07	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN_0101/2020, complete genome"
MT344963	USA: NC	2020-03-08	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC_0025/2020, complete genome"
MT345798	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2091/2020, complete genome"
MT345799	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2169/2020, complete genome"
MT345800	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2082/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345801	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2131/2020, complete genome"
MT345802	USA	2020-03-21	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-2069/2020, complete genome"
MT345803	USA: ID	2020-03-21	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2127/2020, complete genome"
MT345804	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2072/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345805	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2078/2020, complete genome"
MT345806	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2087/2020, complete genome"
MT345807	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2074/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345808	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2132/2020, complete genome"
MT345809	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2119/2020, complete genome"
MT345810	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2086/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345811	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2108/2020, complete genome"
MT345812	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2094/2020, complete genome"
MT345813	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2115/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345814	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2104/2020, complete genome"
MT345815	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2137/2020, complete genome"
MT345816	USA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-2139/2020, complete genome"
MT345817	USA: ID	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2134/2020, complete genome"
MT345818	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2109/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345819	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2112/2020, complete genome"
MT345820	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2129/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345821	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2100/2020, complete genome"
MT345822	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2141/2020, complete genome"
MT345823	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2164/2020, complete genome"
MT345824	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2140/2020, complete genome"
MT345825	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2145/2020, complete genome"
MT345826	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2144/2020, complete genome"
MT345827	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2146/2020, complete genome"
MT345828	USA: ID	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2160/2020, complete genome"
MT345829	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2142/2020, complete genome"
MT345830	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2149/2020, complete genome"
MT345831	USA: ID	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2159/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein, nsp11 region, (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345832	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2181/2020, complete genome"
MT345833	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2203/2020, complete genome"
MT345834	USA: WA	2020-03-26	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2240/2020, complete genome"
MT345835	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2244/2020, complete genome"
MT345836	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2228/2020, complete genome"
MT345837	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2225/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345838	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2236/2020, complete genome"
MT345839	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2220/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) and membrane glycoprotein (M) genes, partial cds; and ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345840	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2249/2020, complete genome"
MT345841	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2247/2020, complete genome"
MT345842	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2250/2020, complete genome"
MT345843	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2179/2020, complete genome"
MT345844	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2180/2020, complete genome"
MT345845	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2177/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein, nsp11 region, (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345846	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2234/2020, complete genome"
MT345847	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2253/2020, complete genome"
MT345848	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2238/2020, complete genome"
MT345849	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2235/2020, complete genome"
MT345850	USA: WA	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2193/2020, complete genome"
MT345851	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2232/2020, complete genome"
MT345852	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2192/2020, complete genome"
MT345853	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2230/2020, complete genome"
MT345854	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2219/2020, complete genome"
MT345855	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2245/2020, complete genome"
MT345856	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2218/2020, complete genome"
MT345857	USA: ID	2020-03-24	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2198/2020, complete genome"
MT345858	USA: ID	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2174/2020, complete genome"
MT345859	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2215/2020, complete genome"
MT345860	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2214/2020, complete genome"
MT345861	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2212/2020, complete genome"
MT345862	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2213/2020, complete genome"
MT345863	USA: ID	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2173/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345864	USA: ID	2020-03-20	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2195/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT345865	USA: WA	2020-03-25	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2208/2020, complete genome"
MT345866	USA: ID	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-2255/2020, complete genome"
MT345867	USA: WA	2020-03-23	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2258/2020, complete genome"
MT345868	USA: CT	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-UW-4344/2020, complete genome"
MT345869	USA: CT	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-UW-4346/2020, complete genome"
MT345870	USA: CT	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-UW-4347/2020, complete genome"
MT345871	USA: ID	2020-03-27	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4355/2020, complete genome"
MT345872	USA: ID	2020-03-27	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4357/2020, complete genome"
MT345873	USA: CT	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-UW-4366/2020, complete genome"
MT345874	USA: CT	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-UW-4372/2020, complete genome"
MT345875	USA: ID	2020-03-28	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4375/2020, complete genome"
MT345876	USA: ID	2020-03-28	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4378/2020, complete genome"
MT345877	USA: ID	2020-03-27	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4380/2020, complete genome"
MT345878	USA: OR	2020-03-29	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OR-UW-4388/2020, complete genome"
MT345879	USA: ID	2020-03-28	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4396/2020, complete genome"
MT345880	USA: ID	2020-03-28	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4400/2020, complete genome"
MT345881	USA: WA	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-4404/2020, complete genome"
MT345882	USA: WA	2020-03-31	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-4406/2020, complete genome"
MT345883	USA: WA	2020-03-31	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-4407/2020, complete genome"
MT345884	USA: ID	2020-03-29	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4424/2020, complete genome"
MT345885	USA: ID	2020-03-30	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4427/2020, complete genome"
MT345886	USA: ID	2020-03-27	"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-4433/2020, complete genome"
